,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
93,2012-03-06 17:16:43,1331072203.0,gs,683.81,113.6,3.52683860385,1343.359985,2.35825315246,1.16858545139,outperform
94,2007-10-11 04:03:35,1192089815.0,gs,11.166,235.94,115.01868222,1554.410034,18.4393591736,96.5793230464,outperform
95,2005-05-08 10:56:33,1115564193.0,gs,5.539,104.68,-4.60220541329,1172.630005,-10.6506370249,6.04843161164,outperform
96,2012-03-04 00:39:16,1330839556.0,gs,687.01,119.96,9.32288344117,1374.089966,4.699745537,4.62313790418,outperform
97,2007-02-20 17:59:37,1172012377.0,gs,10.922,219.14,99.7083751025,1459.680054,11.2213421252,88.4870329774,outperform
98,2011-09-03 09:32:45,1315056765.0,gs,659.55,107.06,-2.43324523831,1218.890015,-7.12582322424,4.69257798593,outperform
99,2011-12-29 18:35:54,1325201754.0,gs,687.01,90.82,-17.2332087852,1263.02002,-3.76330664354,-13.4699021417,underperform
100,2007-03-21 04:42:40,1174466560.0,gs,10.922,204.0,85.9108721407,1435.040039,9.34387895727,76.5669931834,outperform
101,2012-11-14 00:51:04,1352872264.0,gs,636.03,116.47,6.14234940308,1355.48999,3.28250736309,2.85984203999,outperform
102,2004-09-23 14:19:23,1095963563.0,gs,5.133,92.91,-15.3285336736,1108.359985,-15.5477361277,0.219202454155,outperform
103,2007-05-28 11:36:37,1180366597.0,gs,11.864,225.53,105.531759774,1515.72998,15.4921054192,90.0396543547,outperform
104,2007-07-15 22:40:33,1184553633.0,gs,11.166,222.18,102.478811629,1547.699951,17.9280797087,84.5507319199,outperform
105,2010-12-05 10:45:14,1291563914.0,gs,536.75,162.31,47.9176159665,1221.530029,-6.92466551197,54.8422814784,outperform
106,2008-03-18 22:59:33,1205895573.0,gs,10.241,175.33,59.7831039825,1330.73999,1.39666381124,58.3864401713,outperform
107,2012-05-08 22:55:33,1336532133.0,gs,683.81,109.37,-0.32807800966,1363.719971,3.90959651867,-4.23767452833,underperform
108,2003-11-08 08:56:50,1068299810.0,gs,4.951,96.98,-11.6194295088,1051.810059,-19.8565972713,8.23716776254,outperform
109,2008-12-18 09:10:19,1229609419.0,gs,8.861,78.78,-28.2055955527,885.280029,-32.5454693224,4.33987376971,outperform
110,2011-04-29 02:10:29,1304057429.0,gs,624.99,150.6,37.2459673745,1363.609985,3.90121605852,33.3447513159,outperform
111,2011-11-04 15:23:49,1320434629.0,gs,659.55,104.18,-5.05786931559,1253.22998,-4.50926558521,-0.548603730383,underperform
112,2012-07-09 03:46:11,1341819971.0,gs,666.85,95.47,-12.9955344938,1352.459961,3.05163218525,-16.047166679,underperform
113,2007-03-12 02:25:09,1173680709.0,gs,10.922,201.7,83.8148181901,1406.599976,7.17686847554,76.6379497146,outperform
114,2012-11-18 07:43:53,1353242633.0,gs,636.03,115.84,5.56821288618,1353.329956,3.11792206246,2.45029082372,outperform
115,2012-03-03 21:30:35,1330828235.0,gs,687.01,119.96,9.32288344117,1365.680054,4.05894641308,5.26393702809,outperform
116,2013-03-17 14:52:41,1363546361.0,gs,631.01,154.84,41.109997266,1563.22998,19.1114011248,21.9985961412,outperform
117,2008-11-02 04:20:24,1225617624.0,gs,8.861,92.5,-15.7021780735,954.090027,-27.3024434222,11.6002653487,outperform
118,2013-05-18 00:48:39,1368852519.0,gs,601.11,158.18,44.1538321334,1658.780029,26.391903904,17.7619282294,outperform
119,2007-10-29 20:04:28,1193702668.0,ben,0.108,129.51,0.0,1540.97998,0.0,0.0,underperform
120,2013-04-25 14:42:50,1366915370.0,ben,25.65,153.62,18.6163230639,1585.160034,2.86701025149,15.7493128124,outperform
121,2003-11-03 14:17:27,1067887047.0,ben,0.249,47.42,-63.3850667902,1059.02002,-31.2761986694,-32.1088681208,underperform
122,2007-04-09 15:23:09,1176146589.0,ben,0.126,125.1,-3.40514246004,1444.609985,-6.25381226562,2.84866980558,outperform
123,2012-08-22 08:22:30,1345638150.0,ben,20.85,117.86,-8.99544436723,1413.48999,-8.27330605554,-0.72213831169,underperform
124,2013-04-25 00:19:14,1366863554.0,ben,25.65,152.46,17.7206393329,1585.160034,2.86701025149,14.8536290814,outperform
125,2006-08-22 09:53:13,1156254793.0,ben,0.156,97.12,-25.0096517643,1298.819946,-15.7146774872,-9.2949742771,underperform
126,2004-04-27 13:37:20,1083087440.0,ben,0.283,55.35,-57.2619874913,1138.109985,-26.1437526917,-31.1182347996,underperform
127,2005-03-26 16:30:52,1111872652.0,ben,0.26,68.95,-46.7608678866,1172.530029,-23.9101062818,-22.8507616048,underperform
128,2004-09-24 17:33:53,1096061633.0,ben,0.274,54.85,-57.648058065,1110.109985,-27.9607782445,-29.6872798205,underperform
129,2004-10-23 05:48:02,1098524882.0,ben,0.274,57.27,-55.7794764883,1103.660034,-28.3793398795,-27.4001366088,underperform
130,2005-03-29 08:33:55,1112103235.0,ctxs,0.0,23.59,0.0,1165.359985,0.0,0.0,underperform
131,2004-08-11 10:31:44,1092234704.0,ctxs,0.0,15.98,-32.2594319627,1075.790039,-7.68603239796,-24.5733995647,underperform
132,2004-01-20 04:12:05,1074589925.0,ctxs,0.534,21.39,-9.32598558711,1138.77002,-2.28169538531,-7.0442902018,underperform
133,2004-06-20 22:45:54,1087785954.0,ctxs,0.0,19.31,-18.1432810513,1132.050049,-2.85833874758,-15.2849423037,underperform
134,2005-09-07 19:55:04,1126137304.0,ctxs,0.0,24.86,5.38363713438,1236.359985,6.09253800661,-0.708900872235,underperform
135,2004-10-14 00:45:31,1097729131.0,ctxs,0.0,20.94,-11.2335735481,1103.290039,-5.32624655033,-5.90732699778,underperform
136,2005-04-18 15:16:59,1113851819.0,ctxs,0.0,22.22,-5.80754557016,1145.97998,-1.66300587367,-4.14453969648,underperform
137,2005-02-08 19:49:59,1107910199.0,ctxs,0.0,21.76,-7.75752437474,1202.300049,3.16984146319,-10.9273658379,underperform
138,2011-09-02 05:12:40,1314954760.0,msft,23.02,26.21,0.0,1173.969971,0.0,0.0,underperform
139,2004-10-12 05:52:11,1097574731.0,msft,0.0,28.06,7.05837466616,1121.839966,-4.44048879339,11.4988634595,outperform
